id_persona,sexoact,fnacact,edadact,redadact,estcivil,dpto,aportante,tipo_cargo,remuneracion,aporte_armador,aporte_trabajador,aporte_total,primer_periodo,ultimo_periodo,nro_semanas,montos_aportes
595059970144,1,28/07/1987,35,3,1,19,0,6,3020.64,151.03,241.65,392.67999,201406,201507,21,2846.64
595203110132,1,01/06/1974,49,4,2,14,0,6,1950.48,,156.04,156.03999,202005,202302,212,13862.37
595207790132,1,21/07/1974,48,4,1,2,1,6,457.03,,82,82,201402,202306,398,49179.43000000002
595242270132,1,11/03/1965,58,5,1,2,1,3,935.63,,82,82,201405,202306,464,40242.06999999999
595388680132,1,02/01/1959,64,5,2,2,0,,,,,,201805,201807,402,604.35
595504750132,1,04/03/1973,50,4,1,2,1,6,1081.97,,86.56,86.559998,201407,202306,432,47443.47000000002
595552610106,1,18/07/1957,65,6,2,14,0,3,1408.75,,112.7,112.7,201406,202305,847,122195.44
595832720132,1,09/01/1966,57,5,2,2,1,6,1897.7,,151.82,151.82001,201405,202306,718,80470.86000000004
595951700140,1,02/07/1981,41,3,1,14,1,6,190.44,,82,82,201404,202306,185,37945.04000000001
595974850132,1,09/05/1969,54,4,1,2,0,1,28727.43,1436.37,2298.19,3734.5601,201402,202201,596,264890.36
596064830145,1,13/09/1989,33,2,,13,0,,,,,,201607,201707,20,2768.19
596088320132,1,20/06/1974,49,4,2,2,0,,,,,,201405,202207,368,26980.78
596244240143,1,16/12/1984,38,3,2,19,0,,,,,,201405,201508,13,1860.08
596345290115,1,26/04/1957,66,6,2,14,1,6,5022.9,,401.83,401.82999,201406,202306,322,91043.47000000003
596357350132,1,24/12/1974,48,4,1,2,0,,988.46,,82,82,201402,202209,514,79397
596463760132,1,13/02/1971,52,4,1,2,0,6,1596.34,,127.71,127.71,201404,202301,298,14926.1
596511190117,1,26/08/1962,60,5,1,2,1,,,,,,201405,202306,287,18351.36
596559590132,1,27/03/1974,49,4,1,2,0,6,2788.36,139.42,223.07,362.48999,201407,201511,364,8434.130000000001
596625950145,1,11/11/1984,38,3,1,2,0,,,,,,201405,202010,92,9526.299999999999
596739460132,1,15/10/1975,47,4,1,2,0,6,2321.71,116.09,185.74,301.82999,201612,201701,47,749.9100000000001
596740980132,1,20/10/1975,47,4,2,2,1,6,774.87,,82,82,201402,202306,626,125477.35
596777640132,1,26/03/1974,49,4,2,2,1,6,1185.16,,94.81,94.809998,201405,202306,317,66663.92
596779780132,1,28/09/1971,51,4,1,2,1,,,,,,201405,202306,234,20280.85
